[ ,  ,  , R,  , Y,  ,  , Y,  , R,  , R,  ,  , R,  , R,  , Y,  ,  , R,  , Y,  , R,  ,  , Y,  , R,  , Y,  , Y, Y,  , R,  , Y,  ] - 2
[ , Y,  , R,  ,  ,  ,  , R,  , R,  , Y,  ,  , Y,  , R,  , R,  ,  , R,  , Y,  , R,  ,  , Y,  , R,  , Y,  ,  , Y,  , R,  , Y, Y] - 4
[ , Y,  , R,  , Y,  ,  , Y,  , R,  , R,  ,  , R,  , R,  , Y,  ,  , R,  , Y,  , R,  ,  , Y,  , R,  , Y,  , Y, Y, R, R,  , Y,  ] - 4
[ , Y,  , R,  , Y,  ,  , R,  , R,  , Y,  ,  , Y,  , R,  , R,  ,  , R,  , Y,  , R,  ,  , Y,  , R,  , Y,  ,  , Y,  , R, R, Y, Y] - 2
[ , Y,  , R,  , Y,  ,  , Y,  , R,  , R,  ,  , R,  , R,  , Y,  ,  , R,  , Y,  , R,  , Y, Y,  , R,  , Y,  , Y, Y, R, R, R, Y,  ] - 4
[ , Y,  , R,  , Y,  ,  , R,  , R,  , Y,  ,  , Y,  , R,  , R,  ,  , R,  , Y,  , R,  ,  , Y,  , R,  , Y, Y,  , Y, R, R, R, Y, Y] - 2
[ , Y,  , R,  , Y,  ,  , Y,  , R,  , R,  ,  , R,  , R,  , Y,  ,  , R,  , Y, Y, R,  , Y, Y,  , R, R, Y,  , Y, Y, R, R, R, Y,  ] - 2
[ , Y,  , R,  , Y,  ,  , R,  , R,  , Y,  ,  , Y,  , R,  , R,  ,  , R, Y, Y,  , R,  ,  , Y, R, R,  , Y, Y,  , Y, R, R, R, Y, Y] - 4
[ , Y,  , R,  , Y,  ,  , Y,  , R,  , R,  ,  , R,  , R, Y, Y,  ,  , R,  , Y, Y, R,  , Y, Y, R, R, R, Y,  , Y, Y, R, R, R, Y,  ] - 2
[ , Y,  , R,  , Y,  ,  , R,  , R,  , Y,  ,  , Y, Y, R,  , R,  ,  , R, Y, Y,  , R,  ,  , Y, R, R, R, Y, Y,  , Y, R, R, R, Y, Y] - 4
[ ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ] - 3
[ ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , Y,  ,  ,  ,  ,  ,  , R,  ,  ,  ] - 3
[ ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , R,  ,  ,  ,  ,  ,  , Y,  ,  ,  ,  ,  , Y, R,  ,  ,  ] - 3
